0 -1.8549434023920615
500 -1.8527296705405394
1000 -1.7897728946694618
1500 -1.8237690586666024
2000 -1.8564722910768385
2500 -1.8361428629006
3000 -1.8668393490913258
3500 -1.8557434936529293
4000 -1.8877317804801228
4500 -1.8882396694528019
5000 -1.928654483111655
5500 -1.9244133989239802
6000 -1.8989938959432704
6500 -1.9109646452050844
7000 -1.9070065523117903
7500 -1.8969549213896544
8000 -1.8602631187481775
8500 -1.8750601840633465
9000 -1.8806509300364382
9500 -1.8623273113560819
10000 -1.8591365016451908
10500 -1.8475313159804188
11000 -1.8675271111980536
11500 -1.8744945726434905
12000 -1.8836182886509434
12500 -1.9138049329505118
13000 -1.897612440742246
13500 -1.862270553818869
14000 -1.8501433860408119
14500 -1.9040976823509992
15000 -1.904358946438114
15500 -1.8393865037332189
16000 -1.8614260587167946
16500 -1.858776972687118
17000 -1.8625559324592156
17500 -1.8179687219645653
18000 -1.8045559874593504
18500 -1.837481767407486
19000 -1.8814959045219644
19500 -1.9321695528039629
20000 -1.8841426631773175
20500 -1.9084459392593047
21000 -1.9050334546001395
21500 -1.8904602761074856
22000 -1.8983849591007196
22500 -1.8448977655337278
23000 -1.8488880308296556
23500 -1.9097411782003377
24000 -1.8975435516724977
24500 -1.8771731345706697
25000 -1.8596904139855592
25500 -1.836508278540832
26000 -1.858892539808305
26500 -1.8366034905186668
27000 -1.8558662774309966
27500 -1.8378724115391596
28000 -1.9022746260311896
28500 -1.8864330075418543
29000 -1.7885947674583986
29500 -1.9090281271610514
30000 -1.8967364939214209
30500 -1.8304716177625349
31000 -1.9085360224178587
31500 -1.894771370860542
32000 -1.8384564132135122
32500 -1.903202654293801
33000 -1.8865349069316786
33500 -1.8854334666787973
34000 -1.8968835352142766
34500 -1.8104855176102683
35000 -1.849711726778106
35500 -1.8826613110232424
36000 -1.9001738795406458
36500 -1.8377507240652946
37000 -1.844128105866839
37500 -1.8481012030157675
38000 -1.8819499903625854
38500 -1.907241417629497
39000 -1.8963247406192905
39500 -1.8798843575109154
40000 -1.826730115879072
40500 -1.8630122564453908
41000 -1.8652580213699363
41500 -1.8830691376557895
42000 -1.8801845354046955
42500 -1.8746858075991637
43000 -1.876278969733779
43500 -1.8940492220188512
44000 -1.9041266942320167
44500 -1.8839430629320755
45000 -1.8966790286244795
45500 -1.8927839553078796
46000 -1.832758934398533
46500 -1.9264595015662642
47000 -1.885512015695674
47500 -1.8750792328560004
48000 -1.843346255581811
48500 -1.845680301810325
49000 -1.8456831812883188
49500 -1.862667879678579
50000 -1.8332710149465312
